sensorID,date time,co2
lw-ms-air-qual-02,2024-03-27T00:03:57.109916Z,424
lw-ms-air-qual-01,2024-03-27T00:06:15.197023Z,414
lw-ms-air-qual-02,2024-03-27T00:13:57.115982Z,421
lw-ms-air-qual-01,2024-03-27T00:16:15.191863Z,413
lw-ms-air-qual-02,2024-03-27T00:23:57.119949Z,422
lw-ms-air-qual-01,2024-03-27T00:26:15.193295Z,415
lw-ms-air-qual-02,2024-03-27T00:33:57.125028Z,421
lw-ms-air-qual-01,2024-03-27T00:36:15.190893Z,411
lw-ms-air-qual-02,2024-03-27T00:43:57.128055Z,417
lw-ms-air-qual-01,2024-03-27T00:46:15.182563Z,413
lw-ms-air-qual-02,2024-03-27T00:53:57.133036Z,419
lw-ms-air-qual-01,2024-03-27T00:56:15.178042Z,408
lw-ms-air-qual-02,2024-03-27T01:03:57.142102Z,419
lw-ms-air-qual-01,2024-03-27T01:06:15.169785Z,404
lw-ms-air-qual-02,2024-03-27T01:13:57.148128Z,415
lw-ms-air-qual-01,2024-03-27T01:16:15.160304Z,407
lw-ms-air-qual-02,2024-03-27T01:23:57.143199Z,416
lw-ms-air-qual-01,2024-03-27T01:25:57.167Z,408
lw-ms-air-qual-02,2024-03-27T01:33:57.152590Z,412
lw-ms-air-qual-01,2024-03-27T01:36:15.164699Z,408
lw-ms-air-qual-02,2024-03-27T01:43:57.160167Z,415
lw-ms-air-qual-01,2024-03-27T01:46:15.149125Z,405
lw-ms-air-qual-02,2024-03-27T01:53:57.166157Z,414
lw-ms-air-qual-01,2024-03-27T01:56:15.148772Z,403
lw-ms-air-qual-02,2024-03-27T02:03:57.165162Z,415
lw-ms-air-qual-01,2024-03-27T02:06:15.141480Z,402
lw-ms-air-qual-02,2024-03-27T02:13:57.172188Z,414
lw-ms-air-qual-01,2024-03-27T02:16:15.136039Z,401
lw-ms-air-qual-02,2024-03-27T02:23:57.177201Z,413
lw-ms-air-qual-01,2024-03-27T02:26:15.130585Z,402
lw-ms-air-qual-02,2024-03-27T02:33:57.184165Z,411
lw-ms-air-qual-01,2024-03-27T02:36:15.126208Z,402
lw-ms-air-qual-02,2024-03-27T02:43:57.182227Z,415
lw-ms-air-qual-01,2024-03-27T02:46:15.119804Z,402
lw-ms-air-qual-02,2024-03-27T02:53:57.191232Z,411
lw-ms-air-qual-01,2024-03-27T02:55:57.119Z,400
lw-ms-air-qual-02,2024-03-27T03:03:57.199253Z,408
lw-ms-air-qual-01,2024-03-27T03:06:15.108016Z,400
lw-ms-air-qual-02,2024-03-27T03:13:57.203190Z,404
lw-ms-air-qual-01,2024-03-27T03:15:57.115Z,402
lw-ms-air-qual-02,2024-03-27T03:23:57.209221Z,411
lw-ms-air-qual-02,2024-03-27T03:33:57.207209Z,412
lw-ms-air-qual-01,2024-03-27T03:36:15.099838Z,404
lw-ms-air-qual-02,2024-03-27T03:43:57.214205Z,414
lw-ms-air-qual-01,2024-03-27T03:45:57.092Z,404
lw-ms-air-qual-02,2024-03-27T03:53:57.218151Z,408
lw-ms-air-qual-01,2024-03-27T03:55:57.086Z,404
lw-ms-air-qual-02,2024-03-27T04:03:57.220158Z,405
lw-ms-air-qual-01,2024-03-27T04:06:15.081648Z,400
lw-ms-air-qual-02,2024-03-27T04:13:57.226283Z,402
lw-ms-air-qual-01,2024-03-27T04:16:15.081274Z,407
lw-ms-air-qual-02,2024-03-27T04:23:39.232Z,403
lw-ms-air-qual-01,2024-03-27T04:26:15.080831Z,408
lw-ms-air-qual-02,2024-03-27T04:33:57.236184Z,405
lw-ms-air-qual-01,2024-03-27T04:35:57.076Z,409
lw-ms-air-qual-02,2024-03-27T04:43:57.248169Z,403
lw-ms-air-qual-01,2024-03-27T04:46:15.063144Z,403
